alpha_acq_sh_in,alpha_ext_sh_in,alpha_acq_nosh_in,alpha_ext_nosh_in,Q0_in,alpha_acq_sh_out,alpha_ext_sh_out,alpha_acq_nosh_out,alpha_ext_nosh_out,Q0_out
0.35,0.05,0.35,0.05,0.05,0.34999655385036,0.0499999494059011,0.349995956756175,0.0500000267056748,0.0500028975075111
0.65,0.05,0.35,0.05,0.05,0.649985276162624,0.0500001137843356,0.349992715986446,0.0499995379941538,0.049998068716377
0.95,0.05,0.35,0.05,0.05,0.950009686290286,0.0500015021243598,0.349993579642614,0.0500001959153451,0.049982830794761
0.05,0.35,0.35,0.05,0.05,0.0500022330088541,0.350006574881263,0.350006159162149,0.0500014647841454,0.0500064329244196
0.35,0.35,0.35,0.05,0.05,0.349993139127037,0.349995226977626,0.349995805416256,0.0499990946846083,0.0500111048168037
0.65,0.35,0.35,0.05,0.05,0.650007560703671,0.350005865562707,0.350000787235331,0.050001150026219,0.0499910844082478
0.95,0.35,0.35,0.05,0.05,0.949989141197875,0.349991516792215,0.349996711534914,0.0499988889496308,0.0500210639438592
0.05,0.65,0.35,0.05,0.05,0.0499985405185726,0.64998640678823,0.349996303208172,0.0499985813512467,0.049985541641945
0.35,0.65,0.35,0.05,0.05,0.349983651423827,0.649997104890645,0.349988046567887,0.0499991945689544,0.0499982432229444
0.65,0.65,0.35,0.05,0.05,0.649981724884128,0.650001796049764,0.349999101017602,0.0499998545856215,0.0500157320057042
0.95,0.65,0.35,0.05,0.05,0.949977670505177,0.650001247326145,0.349995533644687,0.049999025388388,0.0500270090124104
0.05,0.95,0.35,0.05,0.05,0.049999707902316,0.949989444692619,0.349999785947148,0.0500002567132469,0.0500236289517488
0.35,0.95,0.35,0.05,0.05,0.350009334269998,0.950011531571363,0.350005122369112,0.0499997626393451,0.0499882271560637
0.65,0.95,0.35,0.05,0.05,0.649979810339573,0.949998735894042,0.350003423554881,0.049999187081994,0.0499759802696644
0.95,0.95,0.35,0.05,0.05,0.950026445003459,0.950004616082879,0.350001356186112,0.0500004538916983,0.050009299593512
0.05,0.05,0.65,0.05,0.05,0.0500003892543646,0.0499990069033629,0.649989783607452,0.0500004672080649,0.0499930466498881
0.35,0.05,0.65,0.05,0.05,0.349997994122532,0.0500007098034985,0.64999669521967,0.0500000131614797,0.0499996707403625
0.65,0.05,0.65,0.05,0.05,0.650005139026689,0.0499985162841767,0.649998257735206,0.0499999365074473,0.0500116967396025
0.95,0.05,0.65,0.05,0.05,0.950003687807111,0.0499993406447174,0.650003286839819,0.0500006399156518,0.0499992438740264
0.05,0.35,0.65,0.05,0.05,0.0500000189349521,0.349996076896787,0.649999446497532,0.0499988590308931,0.0499880600546021
0.35,0.35,0.65,0.05,0.05,0.350007232453208,0.349999162513996,0.65000872022938,0.0500001288019121,0.0500019464525394
0.65,0.35,0.65,0.05,0.05,0.650001726287883,0.350003624305828,0.649999002635013,0.0500009546231013,0.0500045765656978
0.95,0.35,0.65,0.05,0.05,0.949989210290369,0.34998972894391,0.649995321349707,0.0499995111895259,0.049998453410808
0.05,0.65,0.65,0.05,0.05,0.0500001013278961,0.650006806477904,0.649995619431138,0.0500007998198271,0.0499871242791414
0.35,0.65,0.65,0.05,0.05,0.349995691329241,0.650003741960973,0.649992228951305,0.0500001008622348,0.0500061744824052
0.65,0.65,0.65,0.05,0.05,0.649999142886372,0.650000041321618,0.65000167072867,0.0499995517020579,0.0500063755025622
0.95,0.65,0.65,0.05,0.05,0.949992685578763,0.650011011079187,0.649991217884235,0.0500007694354281,0.0500063053332269
0.05,0.95,0.65,0.05,0.05,0.0500003402339644,0.950000741402619,0.649996059924888,0.0499996983780875,0.0499745660054032
0.35,0.95,0.65,0.05,0.05,0.349992460571229,0.949998484924436,0.649995101150125,0.0499989073723555,0.050010493490845
0.65,0.95,0.65,0.05,0.05,0.64999801304657,0.950008408748545,0.649995546176797,0.0500003054912668,0.0499609280668665
0.95,0.95,0.65,0.05,0.05,0.94999542273581,0.950011179316789,0.650006675627083,0.0499995313584805,0.0500189075246453
0.05,0.05,0.95,0.05,0.05,0.0499992077529896,0.0500020801846404,0.949996067560278,0.0500009391980711,0.0500050729315262
0.35,0.05,0.95,0.05,0.05,0.349997419434658,0.0499988580704667,0.949990603352489,0.049999939474219,0.0500034891301766
0.65,0.05,0.95,0.05,0.05,0.650004648254253,0.0500007202208508,0.949998607771704,0.0500006520596799,0.0500007465307135
0.95,0.05,0.95,0.05,0.05,0.950001214834629,0.0499990255339071,0.949997267889557,0.0500001083419193,0.0500076960306615
0.05,0.35,0.95,0.05,0.05,0.0499993176308635,0.349995240401768,0.949993421410909,0.0499985265614669,0.0500176228961209
0.35,0.35,0.95,0.05,0.05,0.349996742217627,0.350006012158701,0.95000541715126,0.0499999773892341,0.0499793765193317
0.65,0.35,0.95,0.05,0.05,0.65000472869724,0.349995606113225,0.949998266063631,0.050000807736069,0.0499930041842163
0.95,0.35,0.95,0.05,0.05,0.949998602940468,0.349993876588996,0.950000476528658,0.0499986635986716,0.0499852385546546
