alpha0_in,eta0_in,kappa_in,eta_sh_in,eta_nosh_in,alpha0_out,eta0_out,kappa_out,eta_sh_out,eta_nosh_out
0.35,0.95,0.05,0.65,0.05,0.344206916977782,0.991748963871942,0.0440800597934867,0.742283510851848,0.0569270878804673
0.65,0.95,0.05,0.65,0.05,0.65621179388836,0.612093739793636,0.051017779042013,0.637015670770779,0.0492523517459631
0.95,0.95,0.05,0.65,0.05,0.950189299906924,0.575319096858948,0.0562777488539723,0.573822381900754,0.0443683665416756
0.05,0.05,0.35,0.65,0.05,0.048567405086942,0.0438265210250393,0.349675322300754,0.650913132936694,0.0500758708221838
0.35,0.05,0.35,0.65,0.05,0.349682013213169,0.0492360506905243,0.350020774931181,0.649925451114541,0.0499975138227455
0.65,0.05,0.35,0.65,0.05,0.649993316823384,0.0480940481356811,0.350028695858782,0.649865282641258,0.0500054082658608
0.95,0.05,0.35,0.65,0.05,0.949900119332597,0.0499098168802448,0.350085281737847,0.649747372808633,0.0499724882247392
0.05,0.35,0.35,0.65,0.05,0.0501325716377323,0.350242554104625,0.349992084460609,0.650062343007448,0.0499978951083904
0.35,0.35,0.35,0.65,0.05,0.35062892325368,0.350891831782064,0.349961188287125,0.650129649198789,0.0499840488992049
0.65,0.35,0.35,0.65,0.05,0.649051102489466,0.348787809256464,0.350031536827373,0.64994982585813,0.0499938337161439
0.95,0.35,0.35,0.65,0.05,0.94997393101221,0.34974799684278,0.350148151403118,0.649650518738781,0.0499541669414612
0.05,0.65,0.35,0.65,0.05,0.0487825771269854,0.655655377893709,0.350655739894137,0.64818987849867,0.0498277405567933
0.35,0.65,0.35,0.65,0.05,0.350034464412602,0.649519595048332,0.350114058053805,0.64972422730898,0.0499637879474903
0.65,0.65,0.35,0.65,0.05,0.650216709880624,0.650367092574015,0.349988488393137,0.650008647033246,0.0500041594204959
0.95,0.65,0.35,0.65,0.05,0.949934337375453,0.649964564945549,0.349982210551389,0.65011628009961,0.0499956966959871
0.05,0.95,0.35,0.65,0.05,0.0501783960498869,0.950054271612316,0.349795338697731,0.650530708022416,0.0500523513182998
0.35,0.95,0.35,0.65,0.05,0.350543888402171,0.951121727004647,0.35008607362397,0.649809840018861,0.0499742347747087
0.65,0.95,0.35,0.65,0.05,0.650082153821131,0.949948966037482,0.350139436166501,0.649635777488584,0.0499642505601514
0.95,0.95,0.35,0.65,0.05,0.949041583983785,0.915089786387853,0.350787410339194,0.647881115086307,0.0498210040987033
0.05,0.05,0.65,0.65,0.05,0.0503041349220439,0.0497231818881119,0.649970831647806,0.650069347007957,0.050013191474136
0.35,0.05,0.65,0.65,0.05,0.350074549467536,0.0498739657632541,0.650040168518899,0.649926831654739,0.0499871733773034
0.65,0.05,0.65,0.65,0.05,0.65000290190801,0.0500438155722804,0.649988811754156,0.650013825943461,0.0500077728647739
0.95,0.05,0.65,0.65,0.05,0.950076118810102,0.0500329087954015,0.649983204435557,0.65000947820954,0.0500093029113486
0.05,0.35,0.65,0.65,0.05,0.0499466645705979,0.350143840245437,0.650014521117555,0.649992624123115,0.0499829212785698
0.35,0.35,0.65,0.65,0.05,0.350092454464175,0.349828666658141,0.650021018576808,0.649998053908348,0.0499892850639299
0.65,0.35,0.65,0.65,0.05,0.650024869455592,0.349909137896248,0.650008954095028,0.649966088667497,0.0500014021672541
0.95,0.35,0.65,0.65,0.05,0.949904215754941,0.349786806269549,0.650007104966789,0.649971142178401,0.0500011430121958
0.05,0.65,0.65,0.65,0.05,0.0498562842913088,0.649910405481933,0.650010856246809,0.649978263987578,0.0499997427905328
0.35,0.65,0.65,0.65,0.05,0.350014023599215,0.649868283377145,0.65000896150741,0.650017993080837,0.0499909132704488
0.65,0.65,0.65,0.65,0.05,0.649898009762182,0.650060371841391,0.649988423652758,0.650019878801686,0.050002523470539
0.95,0.65,0.65,0.65,0.05,0.95003170111886,0.650016942076036,0.649962386334664,0.650070589428651,0.0500172547181137
0.05,0.95,0.65,0.65,0.05,0.0499764624983072,0.949834660859779,0.650010705576278,0.649966270430014,0.0500026310328394
0.35,0.95,0.65,0.65,0.05,0.34993706131354,0.94981892965734,0.650002705864608,0.64998966595158,0.0499986866489053
0.65,0.95,0.65,0.65,0.05,0.650125815882348,0.949968469329178,0.65000785223674,0.649996693362482,0.0499985300702974
0.95,0.95,0.65,0.65,0.05,0.950057855632622,0.950471954565728,0.650004333816469,0.650007474119775,0.0500075212912634
