"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"8662","log_lik[1,21,70]",-0.725417899115229,-0.516406693927826,1.31978643077068,1.51257710658953,-3.17462207085772,1.02899823613498,1.00176517454022,5843.5439381011,2760.38617424645
"8663","log_lik[2,21,70]",0.382718081226012,0.727641978003567,0.874271880350842,0.491891484742713,-1.52306767664233,1.11021496438594,1.00097081601183,2899.21615438583,2379.32243417302
"8664","log_lik[3,21,70]",-0.0820655326817578,0.226788892152588,1.08441535435049,1.05549636504187,-2.32050853018473,1.08307254276094,1.00085478609368,4740.7885914984,2691.51824308205
"8665","log_lik[1,22,70]",1.89990668324063,2.33484553816968,1.08939022869298,0.548031640593961,-0.447605080662263,2.75819648260402,0.999984547381163,6156.09631451619,4416.93073613964
"8666","log_lik[2,22,70]",2.1757685772581,2.47919030181873,0.776222153918931,0.354970683240884,0.527812052503288,2.76040041578889,1.00114026390227,2204.35877443557,2521.02887930873
"8667","log_lik[3,22,70]",2.17231922248405,2.48773557607024,0.815557509537144,0.341117620582215,0.561048840756034,2.76010817006253,0.999981123871475,2413.97777359348,2624.55262088295
"8668","log_lik[1,23,70]",2.30868773910879,2.50351361514303,0.506917325239103,0.320516144199013,1.26653431470978,2.76570001126541,1.00199158517872,2164.61427932776,2618.7326796978
"8669","log_lik[2,23,70]",1.86762183530182,2.28433269001477,1.12286992102658,0.608971639760937,-0.43550416643304,2.75518621523029,0.999955781243425,7051.01305705889,5010.58379830503
"8670","log_lik[3,23,70]",0.983905320423881,1.50661963411913,1.82547398729308,1.42402977884722,-2.50042997457421,2.72089542296411,1.00052883618778,9028.98551764617,3739.53855440506
"8671","log_lik[1,24,70]",3.09236301223173,3.43946388739228,0.892580613423642,0.425900314324858,1.23123443700276,3.77471745191869,1.00041481260274,2872.56503262641,3119.39532360648
"8672","log_lik[2,24,70]",2.52303460599518,2.98780695163544,1.38162354558709,0.985830874516874,-0.235943800450758,3.75317796934303,0.999952539271685,9245.78602517843,4224.29518621039
"8673","log_lik[3,24,70]",2.96000729870395,3.36882635438705,1.0462846005751,0.515015944514872,0.843333614738872,3.7689054478115,1.00101483932817,4799.70743864909,4045.57159907653
