"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"6770","log_lik[1,4,55]",1.09532449844679,1.37592796793736,0.752318530403188,0.332678519269043,-0.380703707752311,1.64045989575762,1.00134838261532,2251.11186392608,1987.30088744845
"6771","log_lik[2,4,55]",-5.95807301605312,-5.38218325757848,3.95948780450533,3.75072412666068,-13.4616529751266,-0.577283788864771,1.00145324197996,12029.910705828,3290.80067199886
"6772","log_lik[3,4,55]",0.919929464762418,1.2878673484391,0.961608915417461,0.450433031778204,-1.02846206429756,1.6352831573598,0.999666379031026,3664.17885894143,3272.21572752062
"6773","log_lik[1,5,55]",0.698479824748822,0.984724688849078,0.723955740178218,0.330780857711561,-0.790050824061594,1.24366469489902,1.00073473489272,2188.12009714306,2077.82252779436
"6774","log_lik[2,5,55]",0.834447803653582,1.01912210619954,0.528646874788971,0.275933745836641,-0.118942723343725,1.24969906235522,1.00304342561265,2245.50378925054,2889.98044212988
"6775","log_lik[3,5,55]",-1.49644724320839,-0.987465815439878,2.25537171282794,2.04116133328528,-5.89793287066454,1.13438626084545,1.00137643937991,10454.5507459537,3204.7735299501
"6776","log_lik[1,6,55]",0.551731666047502,0.849991140106889,0.773693262790923,0.341862621139293,-1.01417260502576,1.11763545953937,1.00122544249352,2510.49304092803,3053.36440079741
"6777","log_lik[2,6,55]",0.48365655926265,0.757324103857978,0.694757710339079,0.461961053047724,-1.05800299582589,1.11464237228483,1.00040195815882,2708.39931769678,2365.04633977086
"6778","log_lik[3,6,55]",0.66625451010694,0.874778659699081,0.539012757208719,0.308344822539912,-0.482772020352747,1.11879234705639,1.00074110140256,1854.47724551461,1968.26648869144
"6779","log_lik[1,7,55]",1.52555272902508,1.73508190982588,0.559594257982569,0.134228967644379,0.401051068101241,1.8619530181681,0.999825272182584,5420.89474981093,4427.65335215933
"6780","log_lik[2,7,55]",1.28171938175999,1.59399997757811,0.791559790267336,0.327618532047043,-0.303359472409371,1.85230471408507,1.00110524442569,2180.62638042367,2499.28685645858
"6781","log_lik[3,7,55]",1.18437657851073,1.52219876902873,0.876488973627878,0.425490861015078,-0.615572189716331,1.84837298854603,1.00046756473112,3934.26815618,3894.07728991548
"6782","log_lik[1,8,55]",-2.04699316794158,-1.75211599799788,1.97300487169296,2.13967946732261,-5.70603115072735,0.728176042634536,1.00111530190653,6587.45408739047,2687.02604338192
"6783","log_lik[2,8,55]",0.487348282970718,0.776951608235497,0.732785964696509,0.332416252805173,-1.09323659699443,1.04209373861566,1.00254920884167,1865.59853129613,2379.60450940483
"6784","log_lik[3,8,55]",0.396013232555089,0.73752486134131,0.882236863107918,0.385901737794271,-1.36099828785736,1.03694323598644,1.0001037431417,3248.97590407678,3514.54040262614
"6785","log_lik[1,9,55]",1.30427412868825,1.57997980902812,0.721788410597938,0.313520051748148,-0.219804724128238,1.83028619129887,1.00155406194808,2257.07422547777,2390.08938735689
"6786","log_lik[2,9,55]",1.20386663969435,1.53764145371548,0.864042195548994,0.37495101913944,-0.529621341238393,1.83176246191451,1.00100461423924,2897.05411690943,2926.3974197749
"6787","log_lik[3,9,55]",0.973930155581339,1.38571753179546,1.08202296525757,0.567633242288512,-1.2555196510635,1.82401267869489,1.00058409075386,6697.32356123331,4214.5079948685
"6788","log_lik[1,10,55]",0.481007603978894,0.757034519673363,0.671474579555076,0.22707573585446,-0.884922639300931,0.934305934421789,1.0000879172635,7013.7611992347,4451.74867380136
"6789","log_lik[2,10,55]",0.627241746890738,0.765593464212137,0.436905533934444,0.185599779403879,-0.182468703354462,0.926909286845166,1.00198436565724,2334.14448613183,4018.47033237625
"6790","log_lik[3,10,55]",-4.58171744405239,-4.17404517312192,3.06913311979985,3.07712092546003,-10.443381529622,-0.259191531388775,1.00099669716733,9173.91823078442,2789.58738704141
"6791","log_lik[1,11,55]",0.881694258148902,1.16813165714373,0.780122788933375,0.360494818792948,-0.653772454240034,1.45151589186092,1.00044736798307,2309.79226833873,2222.79912726262
